feature,importance_rf
freeswap,0.31159561184958057
runqsz,0.26473078688099994
freemem,0.19404159626683304
vflt,0.06530955375440645
fork,0.0334772980886553
pflt,0.03131591094907446
scall,0.0224099811768143
sread,0.01856523812343933
swrite,0.011001770296363657
lread,0.009434181715714208
exec,0.007986813023523118
wchar,0.006828877796140883
pgin,0.006389123349678524
rchar,0.006295486453094857
ppgin,0.005638954430331145
ppgout,0.0014451618233798408
pgfree,0.0012393189420778934
pgout,0.0008663343281945475
lwrite,0.0006730069394372411
pgscan,0.00046389631800471923
atch,0.0002910974942560347
