feature,importance_rf
SaTime1,0.16160192448984168
diffRollRate,0.15785832953595055
SaTime2,0.12215832286628747
absRoll,0.11251344860669137
SaTime3,0.10870569707495015
Sa,0.07851535551843977
SaTime4,0.054048660362046516
climbRate,0.04407500629696448
curRoll,0.043815699591145285
p,0.03359785275858477
q,0.02628496169413567
diffDiffClb,0.01770587972888694
diffClb,0.017490909612910662
Sgz,0.017098234040862095
diffSaTime1,0.0032019662440184735
diffSaTime3,0.0013277515782840496
diffSaTime2,0.0
diffSaTime4,0.0
