feature,importance_rf
Gas_Turbine_rate_of_revolutions,0.11889268911760098
Port_Propeller_Torque,0.11390532936044753
Turbine_Injection_Control,0.11301393003750057
Starboard_Propeller_Torque,0.11010761254615785
HP_Turbine_exit_temperature,0.1096614967966603
Gas_Turbine_exhaust_gas_pressure,0.0828962773630062
Gas_Generator_rate_of_revolutions,0.08153196737449385
Lever_position,0.07865185927332458
Gas_Turbine_shaft_torque,0.06201251901873181
GT_Compressor_outlet_air_pressure,0.0468434602548843
GT_Compressor_outlet_air_temperature,0.041302394523832796
HP_Turbine_exit_pressure,0.023510267130521692
Ship_speed_24.0,0.00925870105818305
Ship_speed_27.0,0.0035756251092957615
Ship_speed_21.0,0.0030754609453273645
Ship_speed_15.0,0.0008727318068884936
Ship_speed_18.0,0.0004891600103590457
Ship_speed_12.0,0.0003000408141765677
GT_Turbine_decay_state_coefficient,5.026016981984873e-05
GT_Compressor_decay_state_coefficient,3.316518954215683e-05
Ship_speed_9.0,9.757460851382677e-06
Ship_speed_6.0,5.294638394018303e-06
GT_Compressor_inlet_air_temperature,0.0
GT_Compressor_inlet_air_pressure,0.0
