feature,importance_rf
age,0.4127550368610031
DFA,0.11697557098374957
HNR,0.0536065386046189
Jitter(Abs),0.05183698715947959
RPDE,0.04805828191252232
PPE,0.046290991668031176
sex_1,0.0356469913194396
NHR,0.031312843892353795
Shimmer:APQ11,0.025177294222018903
Shimmer:APQ3,0.021629944697697887
Shimmer:DDA,0.021568670168751154
Shimmer:APQ5,0.021181271791141577
Jitter:PPQ5,0.020368491927627633
Shimmer,0.019631597328397685
Jitter(%),0.019415710595962296
Jitter:DDP,0.018867144843061623
Jitter:RAP,0.01861280163803362
Shimmer(dB),0.0170638303861095
