PICP,NIW,MPIW,QuantileLoss,ExpectileLoss,CRPS,IntervalScoreLoss,AUC,NCIW,c_test_cal,method,lambda,gamma,run,dataset,c_multiplier
0.961,0.3186254172615293,8900.361328125,146.82068501739514,996530.6167772838,1137.7957387906267,11745.654800537108,1.3628887672152437,0.29320125480396375,0.9202067346789936,CLEAR,0.41927599668460536,1.3673806659615284,run_0,allstate,
0.955,0.33882397190643393,9464.580078125,158.00145721519482,1186014.1608562458,1149.4541828423291,12640.11657224121,4.424475137227609,0.3185051847424834,0.9400314356459951,DE_calibrated,,,run_0,allstate,8.021396792281854
0.956,0.340228074908032,9503.8017578125,158.05478449897777,1189193.2700865606,1151.2099593197995,12644.382760498045,3.7215918059312068,0.318081359903443,0.9349062683596129,DE_conformal,,,run_0,allstate,
0.911,0.24945244702552874,6968.10986328125,159.09372635821913,845582.1932083102,1149.2794296649358,12727.498093276972,1.217822281998041,0.3148916493828863,1.2623313707187669,SQR_uncalibrated,,,run_0,allstate,
0.947,0.29576503460480597,8261.7880859375,152.74945042770395,895359.5825986392,1184.1597369490937,12219.95603793945,1.2119191303988406,0.30488663192537974,1.0308406885646975,SQR_conformal,,,run_0,allstate,
0.943,0.32172829443408796,7645.5029296875,128.2729718218995,690294.3672547431,1069.1160694099801,10261.837740869138,1.3555095063632618,0.33105013966220515,1.0289742785741431,CLEAR,0.6569011164762664,0.8128974334329365,run_1,allstate,
0.943,0.37370180968151206,8880.59375,142.43358748962413,973715.0010537466,1110.2251476551041,11394.68699929199,2.960566146500757,0.40226153230560724,1.0764238274586768,DE_calibrated,,,run_1,allstate,7.802791460505626
0.943,0.3737454930887672,8881.6318359375,142.43177286889386,973799.2454651837,1110.2648417903133,11394.541855737303,2.9591442785429747,0.40226173657350855,1.0762985614865155,DE_conformal,,,run_1,allstate,
0.935,0.33143501053070107,7876.171875,141.4094353533319,723780.2479586785,1174.0556209079134,11312.754827270504,1.0096327161647605,0.3629293141837718,1.0950240700360572,SQR_uncalibrated,,,run_1,allstate,
0.952,0.36061121165920085,8569.5107421875,140.25860525058755,770148.118987859,1195.0909938982413,11220.688421801757,0.9617268583769764,0.3529299708019436,0.9786993842428935,SQR_conformal,,,run_1,allstate,
0.946,0.2625054267961804,8108.93701171875,143.79901665603646,850353.55559655,1108.888820476735,11503.921341455074,1.0249446569134055,0.2709003027383835,1.0319798186447446,CLEAR,0.5623413251903491,1.0021608565183566,run_2,allstate,
