Dataset,Method,PICP_mean,PICP_std,NIW_mean,NIW_std,MPIW_mean,MPIW_std,QuantileLoss_mean,QuantileLoss_std,CRPS_mean,CRPS_std,AUC_mean,AUC_std,NCIW_mean,NCIW_std
ailerons,UACQR-P,0.9500,0.0056,0.1768,0.0145,0.0005,0.0000,0.0000,0.0000,0.0001,0.0000,2.1821,5.3024,0.1877,0.0318
ailerons,UACQR-S,0.9645,0.0046,0.2067,0.0184,0.0006,0.0000,0.0000,0.0000,0.0001,0.0000,0.7591,0.3923,0.2067,0.0184
ailerons,clear,0.9478,0.0074,0.2076,0.0173,0.0006,0.0000,0.0000,0.0000,0.0001,0.0000,0.3657,0.0687,0.2099,0.0212
airfoil,UACQR-P,0.9518,0.0108,0.3651,0.0230,12.5005,0.8756,0.1882,0.0135,1.8373,0.1120,2.6815,1.6741,0.3172,0.0261
airfoil,UACQR-S,0.9551,0.0132,0.3912,0.0309,13.3905,1.0796,0.2000,0.0102,1.9357,0.1290,5.3080,5.8190,0.3294,0.0353
airfoil,clear,0.9591,0.0093,0.2010,0.0144,6.8885,0.6438,0.1071,0.0148,0.9963,0.0850,0.3185,0.0694,0.1888,0.0138
allstate,UACQR-P,0.9544,0.0074,0.2851,0.0539,6998.4844,227.7966,111.8850,7.7536,1245.4191,44.9882,1.4712,1.5962,0.2785,0.0493
allstate,UACQR-S,0.9540,0.0073,0.3046,0.0580,7475.1271,262.6489,116.5227,6.8587,1346.0763,50.9193,4.9681,12.4691,0.2964,0.0516
allstate,clear,0.9494,0.0084,0.2784,0.0547,6825.1216,290.8889,115.0590,7.2138,1146.4005,67.6356,0.7116,0.1742,0.2779,0.0580
ca_housing,UACQR-P,0.9522,0.0042,0.3665,0.0078,176637.5136,3907.1282,2953.4411,61.7323,29508.1731,560.4960,39.2850,73.1869,0.3678,0.0070
ca_housing,UACQR-S,0.9600,0.0038,0.4051,0.0074,195251.1319,2929.0856,3046.7677,60.1691,32075.0067,423.5392,12.9024,14.8915,0.4051,0.0074
ca_housing,clear,0.9511,0.0068,0.3136,0.0101,151180.1074,5577.2192,2781.1639,96.3120,23381.8533,335.3777,1.1823,0.2555,0.3101,0.0097
computer,UACQR-P,0.9548,0.0104,0.0836,0.0035,8.2807,0.3464,0.1470,0.0061,1.3758,0.0350,2.6379,5.1430,0.0870,0.0057
computer,UACQR-S,0.9736,0.0041,0.1014,0.0013,10.0435,0.1274,0.1513,0.0043,1.5096,0.0267,0.7718,0.7560,0.1014,0.0013
computer,clear,0.9491,0.0082,0.0803,0.0042,7.9511,0.4197,0.1372,0.0119,1.2176,0.0636,0.3333,0.1702,0.0810,0.0040
concrete,UACQR-P,0.9587,0.0229,0.3726,0.0263,28.2525,2.0406,0.4135,0.0388,4.0326,0.2108,1.1625,0.8245,0.3321,0.0591
concrete,UACQR-S,0.9602,0.0254,0.4030,0.0227,30.5516,1.7003,0.4249,0.0237,4.2545,0.2090,8.2393,18.8911,0.3443,0.0570
concrete,clear,0.9587,0.0151,0.2779,0.0309,21.0739,2.4002,0.3347,0.0326,3.2374,0.3101,1.2104,1.1393,0.2592,0.0320
elevator,UACQR-P,0.9498,0.0056,0.1583,0.0119,0.0098,0.0003,0.0002,0.0000,0.0017,0.0000,9.9223,13.3719,0.1652,0.0155
elevator,UACQR-S,0.9712,0.0034,0.1998,0.0103,0.0124,0.0001,0.0002,0.0000,0.0019,0.0000,3.9008,3.5722,0.1998,0.0103
elevator,clear,0.9504,0.0058,0.1270,0.0082,0.0079,0.0001,0.0001,0.0000,0.0012,0.0000,0.3351,0.0551,0.1266,0.0078
energy_efficiency,UACQR-P,0.9656,0.0181,inf,,inf,,inf,,0.8870,0.0866,0.6083,0.6334,0.1400,0.0149
energy_efficiency,UACQR-S,0.9604,0.0190,0.1622,0.0146,5.9077,0.5142,0.0794,0.0063,0.9335,0.1005,1.0690,1.5815,0.1377,0.0252
energy_efficiency,clear,0.9526,0.0130,0.0429,0.0070,1.5630,0.2616,0.0292,0.0073,0.2496,0.0310,0.1755,0.1037,0.0416,0.0067
insurance,UACQR-P,0.9612,0.0144,0.3045,0.0487,17268.5184,2028.6010,338.8476,48.5650,4032.7389,308.2608,1.5911,1.3020,0.2912,0.0450
insurance,UACQR-S,0.9590,0.0114,0.3113,0.0343,17710.0753,1706.9880,334.3557,36.4781,4143.7810,323.7334,1.5864,1.1793,0.3014,0.0357
insurance,clear,0.9534,0.0138,0.3975,0.0968,22862.8669,6621.1925,421.0880,84.9968,3871.6432,670.8703,1.3343,0.6824,0.3476,0.0833
kin8nm,UACQR-P,0.9509,0.0093,0.4464,0.0191,0.6160,0.0162,0.0088,0.0002,0.0976,0.0018,35.5276,91.2764,0.4332,0.0093
kin8nm,UACQR-S,0.9498,0.0068,0.4597,0.0200,0.6343,0.0139,0.0090,0.0002,0.0993,0.0018,14.4130,16.8598,0.4452,0.0136
kin8nm,clear,0.9511,0.0077,0.3240,0.0120,0.4473,0.0126,0.0067,0.0002,0.0665,0.0016,0.4240,0.0398,0.3223,0.0087
miami_housing,UACQR-P,0.9534,0.0065,0.1038,0.0029,266899.4409,6675.2251,4332.7838,136.9015,40033.4107,923.8942,9.1567,22.4025,0.1023,0.0038
